Alignment ID,Ontology,metric,value,ci_lower,ci_upper,genotype
LPC O-16:0(M+H)_6.62,EtherLPC,n_value,23.1,0.6000000000000014,1.3999999999999986,APOE4
LPC O-18:1(M+H)_6.72,EtherLPC,n_value,16.15,0.1499999999999985,0.1500000000000021,APOE2
LPC O-18:1(M+H)_6.72,EtherLPC,n_value,25.1,5.600000000000001,5.599999999999998,APOE3
LPC O-18:1(M+H)_6.72,EtherLPC,n_value,19.6,0.0,0.0,APOE4
LPE 16:0(M+H)_6.24,LPE,n_value,22.0,0.8999999999999986,2.2,APOE2
LPE 16:0(M+H)_6.24,LPE,n_value,22.4,2.5,2.009999999999991,APOE3
LPE 16:0(M+H)_6.24,LPE,n_value,23.4,1.2999999999999972,1.0,APOE4
LPE 16:0(M-H)_6.24,LPE,n_value,22.0,0.8999999999999986,2.2,APOE2
LPE 16:0(M-H)_6.24,LPE,n_value,22.4,2.5,2.009999999999991,APOE3
LPE 16:0(M-H)_6.24,LPE,n_value,23.4,1.2999999999999972,1.0,APOE4
LPE 16:1(M+H)_5.71,LPE,n_value,16.1,4.000000000000002,1.6999999999999993,APOE2
LPE 16:1(M+H)_5.71,LPE,n_value,19.4,0.6999999999999993,3.0,APOE3
LPE 16:1(M+H)_5.71,LPE,n_value,16.5,0.3000000000000007,5.5,APOE4
LPE 16:1(M-H)_5.71,LPE,n_value,16.1,4.000000000000002,1.6999999999999993,APOE2
LPE 16:1(M-H)_5.71,LPE,n_value,19.4,0.6999999999999993,3.0,APOE3
LPE 16:1(M-H)_5.71,LPE,n_value,16.5,0.3000000000000007,5.5,APOE4
LPE 18:0(M+H)_6.83,LPE,n_value,21.8,4.0,4.599999999999998,APOE2
LPE 18:0(M+H)_6.83,LPE,n_value,21.8,3.8000000000000007,1.8999999999999984,APOE3
LPE 18:0(M+H)_6.83,LPE,n_value,20.9,0.6999999999999993,0.7000000000000028,APOE4
LPE 18:0(M-H)_6.83,LPE,n_value,21.8,4.0,4.599999999999998,APOE2
LPE 18:0(M-H)_6.83,LPE,n_value,21.8,3.8000000000000007,1.8999999999999984,APOE3
LPE 18:0(M-H)_6.83,LPE,n_value,20.9,0.6999999999999993,0.7000000000000028,APOE4
LPE 18:1(M+H)_6.37,LPE,n_value,18.2,0.0,0.0,APOE2
LPE 20:0(M+H)_7.6,LPE,n_value,20.8,1.1999999999999993,1.1999999999999993,APOE2
LPE 20:0(M+H)_7.6,LPE,n_value,20.6,1.3000000000000007,1.7999999999999972,APOE3
LPE 20:0(M+H)_7.6,LPE,n_value,15.7,0.0,0.0,APOE4
LPE 20:2(M+H)_6.54,LPE,n_value,12.6,0.0,0.0,APOE2
LPE 20:2(M+H)_6.54,LPE,n_value,12.8,0.0,0.0,APOE3
LPE 20:2(M-H)_6.54,LPE,n_value,12.6,0.0,0.0,APOE2
LPE 20:2(M-H)_6.54,LPE,n_value,12.8,0.0,0.0,APOE3
LPE 20:3(M+H)_6.3,LPE,n_value,11.3,0.0,0.0,APOE3
LPE 20:5(M+H)_5.41,LPE,n_value,13.6,0.0,0.0,APOE2
LPE 20:5(M+H)_5.41,LPE,n_value,10.1,0.0,0.0,APOE3
LPE 20:5(M+H)_5.41,LPE,n_value,11.2,0.0,0.0,APOE4
LPE 20:5(M-H)_5.41,LPE,n_value,13.6,0.0,0.0,APOE2
LPE 20:5(M-H)_5.41,LPE,n_value,10.1,0.0,0.0,APOE3
